surr_id,incident_id,quarter,school,city,state,school_level,location,situation,targets,barricade,officer_involved,bullied,domestic_violence,gang_related,preplanned,shots_fired,active_shooter_fbi,first_shot
649,19980911CAHEG,Fall,Herbert Hoover High School,Glendale,CA,High,Parking Lot,Escalation of Dispute,Victims Targeted,No,No,No,No,Yes,No,8,Unknown,Unknown
654,19981203INERG,Winter,Ernie Elementary School,Gary,IN,Elementary,Gym,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,6,Unknown,Unknown
657,19990114NYHAN,Winter,Harry S. Truman High School,New York,NY,High,Front of School,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,7,Unknown,9:00:00
660,19990211MSJEP,Winter,Jefferson-Todd Educational Center,Purvis,MS,Other,Office,Hostage/Standoff,Random Shooting,Yes,No,No,No,No,No,18,Yes,Unknown
666,19990520GAHEC,Spring,Heritage High School,Conyers,GA,High,Hallway,Indiscriminate Shooting,Random Shooting,No,No,No,No,No,Yes,6,Yes,8:03:00
669,19990927FLEGT,Fall,Egypt Lake Elementary School,Tampa,FL,Elementary,Beside Building,Accidental,Random Shooting,No,No,No,No,No,No,1,Unknown,7:30:00
672,19991021CASAP,Fall,San Fernando High School,Pacoima,CA,High,Beside Building,Escalation of Dispute,Victims Targeted,No,No,No,No,Unknown,No,5,Unknown,14:40:00
675,19991117TXDID,Fall,Dickinson High School,Dickinson,TX,High,Bathroom,Accidental,Random Shooting,No,No,No,No,No,No,1,Unknown,8:00:00
679,20000113NMALA,Winter,Albuquerque High School,Albuquerque,NM,High,Parking Lot,Escalation of Dispute,Victims Targeted,No,No,No,No,Yes,No,5,Unknown,12:30:00
682,20000126CAALM,Winter,Alicia Reyes Elementary School,Merced,CA,Elementary,Parking Lot,Escalation of Dispute,Victims Targeted,No,No,Yes,No,No,No,5,Unknown,8:34:00
686,20000229MIBUF,Winter,Buell Elementary School,Flint,MI,Elementary,Classroom,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,1,No,10:00:00
689,20000406OKHUH,Spring,Hugo High School,Hugo,OK,High,Football Field/Track,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,1,Unknown,12:00:00
692,20000510AZCAS,Spring,Carmichael Elementary School,Sierra Vista,AZ,Elementary,Classroom,Murder/Suicide,Victims Targeted,No,No,No,Yes,No,No,2,Unknown,13:30:00
696,20000905OHBIB,Fall,Bidwell Porter Elementary School,Bidwell,OH,Elementary,Parking Lot,Murder/Suicide,Victims Targeted,No,No,No,Yes,No,No,4,Unknown,6:30:00
700,20001005MNMIM,Fall,Minneapolis North High School,Minneapolis,MN,High,Beside Building,Illegal Activity,Unknown,No,No,No,No,Yes,No,20,Unknown,23:00:00
702,20001101TXNEC,Fall,Newman Smith High School,Carrollton,TX,High,Classroom,Hostage/Standoff,Unknown,Yes,No,No,No,No,No,9,Yes,8:15:00
430,19911011MAMAR,Fall,Madison Park High School,Roxbury,MA,High,Football Field/Track,Escalation of Dispute,Victims Targeted,No,No,No,No,Yes,No,1,No,15:55:00
